start,execution_time
1704535834231921080,282819041
1704535834516100782,262975759
1704535834805646187,201097369
1704535835105253687,182123087
1704535835357976142,213191011
1704535835606261929,195784517
1704535835897656960,230870626
1704535836171267525,206870871
1704535836442249241,184331473
1704535836725433878,224154018
1704535837030365210,160070344
1704535837272863299,233994938
1704535837551185941,183681464
1704535837796531212,168197262
1704535838114195162,239472439
1704535838398189819,188506431
1704535838663966783,233882055
1704535838942946728,216730052
1704535839237555450,274614778
1704535839512479342,175931711
1704535839776453268,182147880
1704535840056594377,194635161
1704535840338302407,154743593
1704535840589801500,128549319
1704535840844097187,237078030
1704535841110900093,212089692
1704535841404107386,179868596
1704535841658953138,163388935
1704535841936800644,218958972
1704535842186589787,235156622
1704535842475189103,252691893
1704535842748301075,210557376
1704535843034577265,191711104
1704535843320576556,201758884
1704535843588606941,194564058
1704535843933741728,215831593
1704535844205614984,163927882
1704535844469321284,203737118
1704535844747094115,232561537
1704535845029156375,200486164
1704535845278258575,165481496
1704535845540801426,257662841
1704535845831361250,231938841
1704535846104296294,219295328
1704535846389979793,229481608
1704535846667065456,244027894
1704535846959589642,268916693
1704535847228754474,200996462
1704535847492279457,205588273
1704535847781435878,222707705
1704535848060622920,219088451
1704535848328791626,238006851
1704535848611514561,204335959
1704535848901887432,174608316
1704535849205257221,182278974
1704535849468265974,253365849
1704535849771463687,206236268
1704535850056404062,210983838
1704535850324288906,256697931
1704535850581375768,178107691
1704535850859475133,226738373
1704535851135351189,265009912
1704535851416341187,218333114
1704535851678396029,180120235
1704535851994563128,235138766
1704535852270666432,240930632
1704535852527268046,211407205
1704535852814448716,247969372
1704535853075050857,219874214
1704535853362979756,240872540
1704535853630787042,193158784
1704535853927044084,299847236
1704535854238278280,158561567
1704535854452155347,223939522
1704535854738324074,254905625
1704535855025261147,197185534
1704535855300436725,179446576
1704535855567153713,181114695
1704535855831116111,258469114
1704535856105542974,192337563
1704535856394218734,181609926
1704535856641917322,213207950
1704535856912656131,266616484
1704535857184287560,241855283
1704535857450985393,201321166
1704535857755377297,259829659
1704535858040273845,229514524
1704535858340235651,250248652
1704535858612851198,249053282
1704535858879669364,254811490
1704535859164050906,242549933
1704535859431775141,202665560
1704535859697002078,262367067
1704535859961782445,220526495
1704535860231428114,211304095
1704535860491364912,173671209
1704535860781461668,216481159
1704535861036525162,224132729
1704535861326289604,210211110
1704535861598065909,176384489
1704535861858621811,229107298
1704535862136342131,211623247
1704535862393326457,159178526
1704535862663009907,182522538
1704535862929463326,265892968
1704535863220420832,264345896
1704535863499102945,182405975
1704535863733552544,183009172
1704535864047671719,217033245
1704535864333462516,220311344
1704535864620526221,232692577
1704535864883210076,231382735
1704535865153922386,189645415
1704535865447750637,270662737
1704535865754595563,252414838
1704535866029571840,229557788
1704535866335900399,282846494
1704535866619136486,198886576
1704535866861657426,246771481
1704535867153415120,203158380
1704535867432284357,229109773
1704535867723585457,205792823
1704535868005032446,254988714
1704535868276754241,285445941
1704535868562539134,266820607
1704535868851313268,241140860
1704535869140181194,223749509
1704535869409339245,200882914
1704535869701032333,206472317
1704535869976214226,224780475
1704535870284126507,196540631
1704535870552935847,164707788
1704535870827617824,220030476
1704535871090015377,188446658
1704535871371998959,210996944
1704535871659201094,254315572
1704535871942020654,207625318
1704535872243441224,248303630
1704535872541777061,310391873
1704535872856963839,180759451
1704535873096651143,278593813
1704535873394274127,236780053
1704535873680168942,220444907
1704535873928350993,197189246
1704535874216997606,198905872
1704535874543676925,236920963
1704535874840259596,277671041
1704535875118271990,216723730
1704535875426752936,201155406
1704535875722553351,247281313
1704535876020406699,214291891
1704535876294839366,319642350
1704535876614989505,200872291
1704535876885053394,304139288
1704535877205415297,173725845
1704535877440810442,261982881
1704535877711424814,259061253
1704535877999278150,197004003
1704535878270156870,204782087
1704535878552837268,291150366
1704535878844520176,262732039
1704535879107576695,217696144
1704535879419628050,259612461
1704535879695763379,200070035
1704535879989653029,213760835
1704535880280570873,184407661
1704535880575562282,176085287
1704535880846642222,256241981
1704535881151086942,173043575
1704535881443795864,228794090
1704535881733675485,206511125
1704535881998435678,223111596
1704535882280174406,272626580
1704535882565787925,210919621
1704535882831156998,225907251
1704535883105932657,190100464
1704535883381018087,277054704
1704535883663123688,207596928
1704535883929115954,209560161
1704535884239784025,222865589
1704535884545471752,275061681
1704535884829234106,224744845
1704535885103625873,287205892
1704535885404024548,191831657
1704535885704112026,210389636
1704535886004181758,170399111
1704535886270573244,199894027
1704535886569819957,250373953
1704535886855267036,242106543
1704535887149842833,241538786
1704535887447843362,235742556
1704535887734820055,234418995
1704535888072000720,260217757
1704535888348446553,197089073
1704535888679374916,246084980
1704535888961408503,247875532
1704535889256700556,278332231
1704535889535310987,235278454
1704535889828784448,228571228
1704535890109509841,245529715
1704535890381583177,193757985
1704535890662516626,168677612
1704535890939881587,239609032
1704535891225117363,203756262
1704535891507986930,275450657
1704535891783725910,221883856
1704535892076372110,212936857
1704535892357237242,214672707
1704535892648267093,184384757
