"execution_time","solo"
270149,137911.963220453
327189,417755.451005305
286505,380831.735910599
298940,245175.559188025
368743,367691.62324324
302719,354007.31236701
296662,311341.716238819
327828,249862.120588478
478740,377618.389877845
348392,363525.053704871
408118,420485.17998736
308461,342541.594000493
305892,341509.666097214
298506,264987.922741439
441170,421185.736737293
391356,405173.739601066
439653,536973.141406772
327363,404518.853399972
363091,371264.013558319
359114,255174.150998936
448701,361397.681152462
409187,476218.597332412
208828,263113.670566102
349410,332437.521024704
418386,277495.038637235
245354,240818.622050371
252064,191674.813723304
256876,184858.801832451
498209,410303.390513198
417493,267459.85839496
366850,274838.816287984
265664,239649.792296945
411932,559929.444576486
282607,334788.421267275
346076,194291.059545559
326906,337740.648602729
312396,298980.046679004
294782,349501.582675003
337646,309304.879602651
386644,470959.812722498
412888,310870.878473209
362498,344382.795622654
373516,414478.235305825
300075,369026.979192835
487269,560981.284864488
481400,490486.336121994
286665,218695.833601795
352023,334585.969420163
782991,716878.347868396
564414,499003.442965983
433695,337481.520309593
337212,319873.006345025
303117,217294.911021198
506929,661507.344687163
442823,451363.573441758
320882,250057.38909978
493671,414770.513167612
383321,340633.716156306
427761,436725.093257046
322636,334872.566838335
298071,373127.144330465
531020,493311.47845326
322563,402100.532902695
368952,372331.95206081
264894,272566.520406357
325836,268779.983219849
343834,305702.896815394
515779,482127.242040507
262032,289643.763951657
552906,611987.259680614
321244,348308.808440994
358781,433623.997704347
325855,290625.366657922
401100,522568.876668242
309414,260056.555274531
477904,637921.656352438
331792,305460.855309838
153607,141844.608344425
341167,423333.171473945
370422,360393.945624572
302613,281060.303581118
262635,144585.947299302
268125,263975.069835994
416948,439664.227606815
439120,372383.730054869
347497,293431.093445148
305177,357179.368193033
280675,309370.500749741
260890,282382.551967133
265797,203779.587487668
294409,305608.737195981
296329,296599.746627635
286992,184392.784041085
303935,294459.269664486
386094,312004.656062456
368131,597743.701476097
311262,315254.787926439
311360,260633.412321004
246434,228805.280998786
297535,194252.938978983
376001,348283.581419778
535222,548502.105196603
274210,250885.333060659
370128,272226.511625989
301375,203070.16793199
345383,338891.57018331
414653,439370.604421099
302373,327565.96972092
360372,408326.806710265
371000,329734.632327131
326634,365992.00246231
414589,460926.025432627
399696,467826.016359905
354613,366392.375532496
303836,347732.961865058
452669,577402.401353068
529484,450247.557804212
246119,199505.230702864
351000,190533.224889226
389799,263241.48070013
307042,163000.341933876
426706,256188.605366812
414712,319130.814456132
387895,425874.063159031
314243,179269.97478727
458725,625683.603577857
465487,390351.410282373
309823,280648.423527061
411258,343557.245897043
234669,252895.738454287
290523,363848.739286818
458238,373286.28305987
305861,361154.187792838
301029,279261.09844674
287218,217555.246128026
254775,272031.674149746
358414,415168.449800147
431856,404271.704567646
265714,237254.856799532
550746,388966.466239111
276053,209804.074593001
369752,295091.920817063
536788,306597.589854573
268924,338575.377581565
392044,387036.574233375
361995,435609.097884815
392167,437409.76357284
281061,298176.63844231
297441,205886.230344862
251636,233674.995991113
292166,210932.673878159
269771,321580.057707192
290665,173818.061964229
272677,302729.650993677
370812,349499.309980355
277404,267905.105375318
312214,318664.035662618
275347,282146.411064486
295428,259271.066365414
271521,235079.578344954
347797,387289.319106953
230182,179018.643445939
307287,298883.667332338
392566,338864.401994231
319388,358867.052903625
380709,364263.110899785
272478,224779.742008399
482047,377449.444286572
387576,270176.393820238
416881,460222.531275557
408049,375402.921183922
427705,330016.358600502
294260,185852.374048208
340435,251976.25669745
287030,231256.87761788
478466,364287.047661314
275413,201434.475235651
315614,234336.476663718
257591,125486.490925655
252801,292793.603429301
442261,393323.824905517
255080,263430.816340824
264973,230398.231141282
299554,211030.248010647
317566,288652.625446931
285535,153306.706009025
383502,280935.105430723
336144,246330.572612089
353106,395687.380336764
529608,448101.066810122
546220,337408.234450545
269641,252762.199349737
297691,334604.71320401
301027,219521.499677205
298862,225133.030436011
306145,360573.576555794
289046,376319.903796913
448265,411884.627051118
402478,423594.791428979
278943,371667.330245595
337530,403309.560542112
463640,627464.262838193
310453,304246.504834248
300381,314097.963810436
273016,223010.542007763
217436,171116.468347073
286444,286581.611781575
282408,253356.438358957
294293,238467.524284997
468348,404422.83509464
285586,153705.932551348
608764,760021.856603688
247619,230358.827916941
473473,417788.656825843
372970,362294.464608989
340202,214912.126134449
337608,303595.875158449
457238,571623.873188418
253823,237568.111886713
434870,333591.027278501
341408,316551.589690073
363270,283381.640910926
304495,364657.97321844
350437,494742.207996919
290661,244442.322470763
370721,431721.765263157
306630,231079.756837303
300855,248752.190547451
272812,248152.35484745
337263,331510.54408182
275455,329055.592195346
403174,421039.862018341
287075,152287.218189377
329396,298270.006084675
252975,268438.037801843
404003,383268.070440327
284151,291462.697491989
357647,225849.803049964
411538,431342.346932267
464246,471111.63839352
276715,352526.564851254
312026,339102.980134144
324403,239251.980677848
289638,301475.256711578
