start,execution_time
1.70452E+18,107487335
1.70452E+18,69112623
1.70452E+18,118354572
1.70452E+18,81968345
1.70452E+18,81091899
1.70452E+18,77256066
1.70452E+18,95953322
1.70452E+18,70292230
1.70452E+18,101344048
1.70452E+18,79922019
1.70452E+18,121848974
1.70452E+18,80905946
1.70452E+18,105246529
1.70452E+18,89928817
1.70452E+18,92175645
1.70452E+18,70998904
1.70452E+18,91665321
1.70452E+18,85645396
1.70452E+18,103949942
1.70452E+18,79395997
1.70452E+18,86952954
1.70452E+18,113511472
1.70452E+18,92055326
1.70452E+18,75783496
1.70452E+18,103777422
1.70452E+18,83522613
1.70452E+18,120317947
1.70452E+18,77717410
1.70452E+18,91758309
1.70452E+18,95565484
1.70452E+18,98685946
1.70452E+18,78641286
1.70452E+18,96008623
1.70452E+18,81563360
1.70452E+18,132445977
1.70452E+18,80215384
1.70452E+18,93671646
1.70452E+18,79654199
1.70452E+18,92843879
1.70452E+18,103634137
1.70452E+18,103017384
1.70452E+18,77383862
1.70452E+18,95676415
1.70452E+18,94063186
1.70452E+18,91658006
1.70452E+18,70818575
1.70452E+18,93305557
1.70452E+18,89406247
1.70452E+18,94287229
1.70452E+18,101274014
1.70452E+18,103467735
1.70452E+18,101653224
1.70452E+18,98976136
1.70452E+18,91239747
1.70452E+18,92182045
1.70452E+18,83389023
1.70452E+18,119750225
1.70452E+18,69680414
1.70452E+18,109142411
1.70452E+18,73096557
1.70452E+18,117867286
1.70452E+18,77992314
1.70452E+18,104142026
1.70452E+18,75836199
1.70452E+18,85457848
1.70452E+18,72288614
1.70452E+18,140195956
1.70452E+18,127634760
1.70452E+18,90663740
1.70452E+18,88468362
1.70452E+18,117319017
1.70452E+18,82544298
1.70452E+18,92184969
1.70452E+18,70534292
1.70452E+18,91514942
1.70452E+18,81641963
1.70452E+18,109660258
1.70452E+18,82000594
1.70452E+18,123087273
1.70452E+18,99715620
1.70452E+18,110039022
1.70452E+18,75788265
1.70452E+18,93693088
1.70452E+18,77387715
1.70452E+18,90304487
1.70452E+18,77553850
1.70452E+18,146481970
1.70452E+18,91646742
1.70452E+18,126105455
1.70452E+18,82011594
1.70452E+18,98548596
1.70452E+18,84942366
1.70452E+18,101437711
1.70452E+18,73831982
1.70452E+18,91553685
1.70452E+18,78278715
1.70452E+18,99573975
1.70452E+18,80004146
1.70452E+18,120435144
1.70452E+18,85414040
1.70452E+18,122103978
1.70452E+18,89805936
1.70452E+18,107805539
1.70452E+18,75536655
1.70452E+18,91632858
1.70452E+18,88961757
1.70452E+18,96056211
1.70452E+18,75725827
1.70452E+18,86229613
1.70452E+18,85036762
1.70452E+18,130431507
1.70452E+18,103796228
1.70452E+18,130654707
1.70452E+18,95079990
1.70452E+18,85688520
1.70452E+18,84251905
1.70452E+18,95317414
1.70452E+18,87805188
1.70452E+18,175686690
1.70452E+18,109475488
1.70452E+18,167803239
1.70452E+18,102013362
1.70452E+18,114100229
1.70452E+18,86403838
1.70452E+18,127569339
1.70452E+18,94483974
1.70452E+18,133038149
1.70452E+18,109689199
1.70452E+18,111009424
1.70452E+18,109992954
1.70452E+18,93667299
1.70452E+18,81619494
1.70452E+18,109806232
1.70452E+18,71682829
1.70452E+18,85291855
1.70452E+18,76914093
1.70452E+18,84437204
1.70452E+18,95123104
1.70452E+18,101950672
1.70452E+18,110428689
1.70452E+18,98225001
1.70452E+18,75530710
1.70452E+18,103708161
1.70452E+18,72337121
1.70452E+18,110568867
1.70452E+18,108092081
1.70452E+18,98107644
1.70452E+18,73472187
1.70452E+18,112216830
1.70452E+18,72414119
1.70452E+18,104143440
1.70452E+18,83417020
1.70452E+18,110759586
1.70452E+18,85302793
1.70452E+18,103002723
1.70452E+18,84890102
1.70452E+18,88099264
1.70452E+18,77136680
1.70452E+18,93768077
1.70452E+18,97426776
1.70452E+18,100103804
1.70452E+18,84723182
1.70452E+18,87057632
1.70452E+18,111097128
1.70452E+18,107932470
1.70452E+18,73902625
1.70452E+18,128980427
1.70452E+18,75540861
1.70452E+18,85165312
1.70452E+18,76437625
1.70452E+18,110692974
1.70452E+18,94361848
1.70452E+18,116725072
1.70452E+18,86987522
1.70452E+18,100855390
1.70452E+18,81984778
1.70452E+18,82177576
1.70452E+18,79938947
1.70452E+18,85129058
1.70452E+18,70499712
1.70452E+18,119641299
1.70452E+18,100544802
1.70452E+18,102665061
1.70452E+18,81089631
1.70452E+18,99224005
1.70452E+18,77900228
1.70452E+18,105669398
1.70452E+18,111672543
1.70452E+18,88763928
1.70452E+18,302335151
1.70452E+18,194737911
1.70452E+18,234874275
1.70452E+18,509441190
1.70452E+18,352039857
1.70452E+18,208499956
1.70452E+18,379419818
1.70452E+18,539544559
1.70452E+18,411357741
1.70452E+18,273881237
1.70452E+18,346193001
1.70452E+18,544268020
1.70452E+18,523136769
1.70452E+18,505177131
1.70452E+18,301521099
1.70452E+18,340036451
1.70452E+18,420799996
1.70452E+18,577182366
1.70452E+18,344319419
1.70452E+18,398642215
1.70452E+18,377632423
1.70452E+18,431116699
1.70452E+18,295597916
1.70452E+18,353879190
1.70452E+18,333761185
1.70452E+18,351251744
1.70452E+18,413276715
1.70452E+18,318811954
1.70452E+18,335655918
1.70452E+18,471387986
1.70452E+18,722828290
1.70452E+18,380844819
1.70452E+18,508203864
1.70452E+18,538397334
1.70452E+18,539386704
